name,Female_Married_by_15,Female_Married_by_18,Male_Married_by_18
Afghanistan,4,28,7
Albania,1,12,1
Algeria,0,4,Ð
Andorra,Ð,Ð,Ð
Angola,8,30,6
Anguilla,Ð,Ð,Ð
Antigua and Barbuda,Ð,Ð,Ð
Argentina,Ð,Ð,Ð
Armenia,0,5,0
Australia,Ð,Ð,Ð
Austria,Ð,Ð,Ð
Azerbaijan,2,11,0
Bahamas,Ð,Ð,Ð
Bahrain,Ð,Ð,Ð
Bangladesh,16,51,4
Barbados,8,29,Ð
Belarus,0,5,1
Belgium,Ð,Ð,Ð
Belize,6,34,22
Benin,9,31,5
Bhutan,6,26,Ð
Bolivia (Plurinational State of),3,20,8
Bosnia and Herzegovina,0,4,0
Botswana,Ð,Ð,Ð
Brazil,6,26,Ð
British Virgin Islands,Ð,Ð,Ð
Brunei Darussalam,Ð,Ð,Ð
Bulgaria,Ð,Ð,Ð
Burkina Faso,10,52,4
Burundi,3,19,1
Cabo Verde,3,18,3
Cambodia,2,19,4
Cameroon,11,30,3
Canada,Ð,Ð,Ð
Central African Republic,26,61,28
Chad,24,61,8
Chile,Ð,Ð,Ð
China,Ð,Ð,Ð
Colombia,5,23,7
Comoros,10,32,12
Congo,7,27,6
Cook Islands,Ð,Ð,Ð
Costa Rica,2,21,Ð
C™te d'Ivoire,7,27,4
Croatia,Ð,Ð,Ð
Cuba,5,29,6
Cyprus,Ð,Ð,Ð
Czechia,Ð,Ð,Ð
Democratic People's Republic of Korea,0,0,0
Democratic Republic of the Congo,8,29,6
Denmark,Ð,Ð,Ð
Djibouti,1,5,Ð
Dominica,Ð,Ð,Ð
Dominican Republic,12,36,8
Ecuador,4,22,Ð
Egypt,2,17,0
El Salvador,6,26,Ð
Equatorial Guinea,9,30,4
Eritrea,13,41,2
Estonia,Ð,Ð,Ð
Eswatini,1,5,1
Ethiopia,14,40,5
Fiji,Ð,Ð,Ð
Finland,Ð,0,Ð
France,Ð,Ð,Ð
Gabon,6,22,5
Gambia,8,26,0
Georgia,0,14,1
Germany,Ð,Ð,Ð
Ghana,5,19,4
Greece,Ð,Ð,Ð
Grenada,Ð,Ð,Ð
Guatemala,6,30,10
Guinea,17,47,2
Guinea-Bissau,8,26,2
Guyana,4,30,9
Haiti,2,15,2
Holy See,Ð,Ð,Ð
Honduras,8,34,12
Hungary,Ð,Ð,Ð
Iceland,Ð,Ð,Ð
India,7,27,4
Indonesia,2,16,5
Iran (Islamic Republic of),3,17,Ð
Iraq,7,28,Ð
Ireland,Ð,Ð,Ð
Israel,Ð,Ð,Ð
Italy,Ð,Ð,Ð
Jamaica,1,8,Ð
Japan,Ð,Ð,Ð
Jordan,2,10,0
Kazakhstan,0,7,0
Kenya,4,23,3
Kiribati,2,18,9
Kuwait,Ð,Ð,Ð
Kyrgyzstan,0,13,0
Lao People's Democratic Republic,7,33,11
Latvia,Ð,Ð,Ð
Lebanon,1,6,Ð
Lesotho,1,16,2
Liberia,9,36,5
Libya,Ð,Ð,Ð
Liechtenstein,Ð,Ð,Ð
Lithuania,Ð,0,Ð
Luxembourg,Ð,Ð,Ð
Madagascar,13,40,12
Malawi,9,42,7
Malaysia,Ð,Ð,Ð
Maldives,0,2,2
Mali,16,54,2
Malta,Ð,Ð,Ð
Marshall Islands,6,26,12
Mauritania,18,37,2
Mauritius,Ð,Ð,Ð
Mexico,4,21,Ð
Micronesia (Federated States of),Ð,Ð,Ð
Monaco,Ð,Ð,Ð
Mongolia,1,12,2
Montenegro,2,6,3
Montserrat,Ð,Ð,Ð
Morocco,1,14,Ð
Mozambique,17,53,10
Myanmar,2,16,5
Namibia,2,7,1
Nauru,2,27,12
Nepal,8,33,9
Netherlands,Ð,Ð,Ð
New Zealand,Ð,Ð,Ð
Nicaragua,10,35,19
Niger,28,76,6
Nigeria,16,43,3
Niue,Ð,Ð,Ð
North Macedonia,0,8,Ð
Norway,Ð,Ð,Ð
Oman,1,4,Ð
Pakistan,4,18,5
Palau,Ð,Ð,Ð
Panama,7,26,Ð
Papua New Guinea,8,27,4
Paraguay,4,22,Ð
Peru,3,17,Ð
Philippines,2,17,3
Poland,Ð,Ð,Ð
Portugal,Ð,Ð,Ð
Qatar,0,4,1
Republic of Korea,Ð,Ð,Ð
